timestamp,node_id,area,lat,lon,fill_level_pct,temperature_c,battery_v,sensor_status
2025-11-23T17:26:40.021226+00:00,SIM_Koramangala_01,Koramangala,12.933961,77.6245,14.28,28.83,3.31,OK
2025-11-23T17:26:40.192431+00:00,SIM_Indiranagar_02,Indiranagar,12.971924,77.636376,38.01,32.04,3.51,OK
2025-11-23T17:26:40.366693+00:00,SIM_Whitefield_03,Whitefield,12.970907,77.747486,23.64,23.46,3.98,OK
2025-11-23T17:26:40.543911+00:00,SIM_Jayanagar_04,Jayanagar,12.923563,77.59485,23.01,23.12,3.21,OK
2025-11-23T17:26:40.716970+00:00,SIM_Electronic_City_05,Electronic City,12.845571,77.659816,34.38,34.62,4.14,OK
2025-11-23T17:26:40.942691+00:00,SIM_HSR_Layout_06,HSR Layout,12.919944,77.623397,33.97,24.15,4.04,OK
2025-11-23T17:26:41.154714+00:00,SIM_Malleswaram_07,Malleswaram,13.006059,77.569303,1.0,25.91,3.54,OK
2025-11-23T17:26:41.479383+00:00,SIM_Banashankari_08,Banashankari,12.922211,77.542804,30.29,24.92,4.16,OK
2025-11-23T17:26:51.659077+00:00,SIM_Koramangala_01,Koramangala,12.933961,77.6245,17.26,31.38,3.24,OK
2025-11-23T17:26:51.822596+00:00,SIM_Indiranagar_02,Indiranagar,12.971924,77.636376,37.73,30.74,3.56,OK
2025-11-23T17:26:51.982352+00:00,SIM_Whitefield_03,Whitefield,12.970907,77.747486,25.31,27.11,3.55,OK
2025-11-23T17:26:52.145046+00:00,SIM_Jayanagar_04,Jayanagar,12.923563,77.59485,23.82,31.63,3.33,OK
2025-11-23T17:26:52.306664+00:00,SIM_Electronic_City_05,Electronic City,12.845571,77.659816,35.39,33.34,3.41,OK
2025-11-23T17:26:52.467516+00:00,SIM_HSR_Layout_06,HSR Layout,12.919944,77.623397,35.5,20.18,3.35,OK
2025-11-23T17:26:52.629286+00:00,SIM_Malleswaram_07,Malleswaram,13.006059,77.569303,1.95,30.87,3.75,OK
2025-11-23T17:26:52.794774+00:00,SIM_Banashankari_08,Banashankari,12.922211,77.542804,31.05,20.14,3.65,OK
2025-11-23T17:27:02.967939+00:00,SIM_Koramangala_01,Koramangala,12.933961,77.6245,19.11,27.16,4.19,OK
2025-11-23T17:27:03.132140+00:00,SIM_Indiranagar_02,Indiranagar,12.971924,77.636376,37.34,26.07,3.2,OK
2025-11-23T17:27:03.292984+00:00,SIM_Whitefield_03,Whitefield,12.970907,77.747486,27.6,20.4,3.73,OK
2025-11-23T17:27:03.459305+00:00,SIM_Jayanagar_04,Jayanagar,12.923563,77.59485,25.41,28.6,3.71,OK
2025-11-23T17:27:03.625495+00:00,SIM_Electronic_City_05,Electronic City,12.845571,77.659816,3.69,27.77,3.52,OK
2025-11-23T17:27:03.787333+00:00,SIM_HSR_Layout_06,HSR Layout,12.919944,77.623397,36.12,33.42,3.34,OK
2025-11-23T17:27:03.947572+00:00,SIM_Malleswaram_07,Malleswaram,13.006059,77.569303,3.17,27.49,4.16,OK
2025-11-23T17:27:04.137218+00:00,SIM_Banashankari_08,Banashankari,12.922211,77.542804,32.25,22.72,3.91,OK
2025-11-23T17:27:14.296818+00:00,SIM_Koramangala_01,Koramangala,12.933961,77.6245,21.09,23.33,3.95,OK
2025-11-23T17:27:14.497949+00:00,SIM_Indiranagar_02,Indiranagar,12.971924,77.636376,36.65,23.55,3.49,OK
2025-11-23T17:27:15.041041+00:00,SIM_Whitefield_03,Whitefield,12.970907,77.747486,30.3,21.66,4.01,OK
2025-11-23T17:27:15.206292+00:00,SIM_Jayanagar_04,Jayanagar,12.923563,77.59485,27.91,29.49,4.05,OK
2025-11-23T17:27:15.384137+00:00,SIM_Electronic_City_05,Electronic City,12.845571,77.659816,4.86,24.18,3.52,OK
