timestamp,device_id,area,latitude,longitude,fill_level_percent,weight_kg
2020-01-01T00:00:00Z,BIN_Koramangala_01,Koramangala,12.9352,77.6245,21.66,10.76
2020-01-01T01:00:00Z,BIN_Indiranagar_01,Indiranagar,12.9719,77.638,27.32,14.42
2020-01-01T02:00:00Z,BIN_Whitefield_01,Whitefield,12.9699,77.749,29.87,14.82
2020-01-01T03:00:00Z,BIN_Jayanagar_01,Jayanagar,12.925,77.5938,40.51,20.64
2020-01-01T04:00:00Z,BIN_ElectronicCity_01,Electronic City,12.8444,77.6601,39.56,20.05
2020-01-01T05:00:00Z,BIN_HSRLayout_01,HSR Layout,12.918,77.6229,19.78,9.66
2020-01-01T06:00:00Z,BIN_Malleswaram_01,Malleswaram,13.0067,77.5709,27.1,12.59
2020-01-01T07:00:00Z,BIN_Basavanagudi_01,Basavanagudi,12.9485,77.574,26.4,12.92
2020-01-01T08:00:00Z,BIN_SarjapurRoad_01,Sarjapur Road,12.9141,77.7198,33.73,17.02
2020-01-01T09:00:00Z,BIN_Rajajinagar_01,Rajajinagar,13.001,77.548,39.25,18.92
2020-01-01T10:00:00Z,BIN_Marathahalli_01,Marathahalli,12.9591,77.6979,26.57,13.17
2020-01-01T11:00:00Z,BIN_Bellandur_01,Bellandur,12.9352,77.6784,27.57,13.07
2020-01-01T12:00:00Z,BIN_Banashankari_01,Banashankari,12.9172,77.5636,30.94,15.52
2020-01-01T13:00:00Z,BIN_Sadashivanagar_01,Sadashivanagar,13.0046,77.5739,34.32,17.35
2020-01-01T14:00:00Z,BIN_Hebbal_01,Hebbal,13.0358,77.597,41.17,20.44
2020-01-01T15:00:00Z,BIN_BTMLayout_01,BTM Layout,12.9165,77.6101,21.37,11.61
2020-01-01T16:00:00Z,BIN_Ulsoor_01,Ulsoor,12.9775,77.6168,28.33,13.64
2020-01-01T17:00:00Z,BIN_FrazerTown_01,Frazer Town,12.9941,77.6192,36.04,17.41
2020-01-01T18:00:00Z,BIN_JPNagar_01,J.P. Nagar,12.9151,77.5745,39.4,18.72
2020-01-01T19:00:00Z,BIN_Devanahalli_01,Devanahalli,13.1986,77.709,39.99,20.09
2020-01-01T20:00:00Z,BIN_Koramangala_01,Koramangala,12.9352,77.6245,26.39,13.28
2020-01-01T21:00:00Z,BIN_Indiranagar_01,Indiranagar,12.9719,77.638,29.03,14.36
2020-01-01T22:00:00Z,BIN_Whitefield_01,Whitefield,12.9699,77.749,30.14,14.71
2020-01-01T23:00:00Z,BIN_Jayanagar_01,Jayanagar,12.925,77.5938,38.39,19.72
2020-01-02T00:00:00Z,BIN_ElectronicCity_01,Electronic City,12.8444,77.6601,41.38,19.81
2020-01-02T01:00:00Z,BIN_HSRLayout_01,HSR Layout,12.918,77.6229,21.52,10.57
2020-01-02T02:00:00Z,BIN_Malleswaram_01,Malleswaram,13.0067,77.5709,23.71,12.16
2020-01-02T03:00:00Z,BIN_Basavanagudi_01,Basavanagudi,12.9485,77.574,34.04,17.48
2020-01-02T04:00:00Z,BIN_SarjapurRoad_01,Sarjapur Road,12.9141,77.7198,33.63,16.66
2020-01-02T05:00:00Z,BIN_Rajajinagar_01,Rajajinagar,13.001,77.548,42.34,21.66
2020-01-02T06:00:00Z,BIN_Marathahalli_01,Marathahalli,12.9591,77.6979,20.11,9.96
2020-01-02T07:00:00Z,BIN_Bellandur_01,Bellandur,12.9352,77.6784,23.43,11.11
2020-01-02T08:00:00Z,BIN_Banashankari_01,Banashankari,12.9172,77.5636,34.38,17.87
2020-01-02T09:00:00Z,BIN_Sadashivanagar_01,Sadashivanagar,13.0046,77.5739,36.93,18.97
2020-01-02T10:00:00Z,BIN_Hebbal_01,Hebbal,13.0358,77.597,43.43,21.39
2020-01-02T11:00:00Z,BIN_BTMLayout_01,BTM Layout,12.9165,77.6101,23.63,12.58
2020-01-02T12:00:00Z,BIN_Ulsoor_01,Ulsoor,12.9775,77.6168,27.64,14.6
2020-01-02T13:00:00Z,BIN_FrazerTown_01,Frazer Town,12.9941,77.6192,25.08,12.95
2020-01-02T14:00:00Z,BIN_JPNagar_01,J.P. Nagar,12.9151,77.5745,38.41,19.05
2020-01-02T15:00:00Z,BIN_Devanahalli_01,Devanahalli,13.1986,77.709,43.62,20.82
2020-01-02T16:00:00Z,BIN_Koramangala_01,Koramangala,12.9352,77.6245,22.89,11.62
