timestamp,device_id,area,level_percent,lat,lon,weight_kg
2025-11-23T17:26:40.021226+00:00,SIM_Koramangala_01,Koramangala,14.28,12.933961,77.6245,
2025-11-23T17:26:40.192431+00:00,SIM_Indiranagar_02,Indiranagar,38.01,12.971924,77.636376,
2025-11-23T17:26:40.366693+00:00,SIM_Whitefield_03,Whitefield,23.64,12.970907,77.747486,
2025-11-23T17:26:40.543911+00:00,SIM_Jayanagar_04,Jayanagar,23.01,12.923563,77.59485,
2025-11-23T17:26:40.716970+00:00,SIM_Electronic_City_05,Electronic City,34.38,12.845571,77.659816,
2025-11-23T17:26:40.942691+00:00,SIM_HSR_Layout_06,HSR Layout,33.97,12.919944,77.623397,
2025-11-23T17:26:41.154714+00:00,SIM_Malleswaram_07,Malleswaram,1.0,13.006059,77.569303,
2025-11-23T17:26:41.479383+00:00,SIM_Banashankari_08,Banashankari,30.29,12.922211,77.542804,
2025-11-23T17:26:51.659077+00:00,SIM_Koramangala_01,Koramangala,17.26,12.933961,77.6245,
2025-11-23T17:26:51.822596+00:00,SIM_Indiranagar_02,Indiranagar,37.73,12.971924,77.636376,
2025-11-23T17:26:51.982352+00:00,SIM_Whitefield_03,Whitefield,25.31,12.970907,77.747486,
2025-11-23T17:26:52.145046+00:00,SIM_Jayanagar_04,Jayanagar,23.82,12.923563,77.59485,
2025-11-23T17:26:52.306664+00:00,SIM_Electronic_City_05,Electronic City,35.39,12.845571,77.659816,
2025-11-23T17:26:52.467516+00:00,SIM_HSR_Layout_06,HSR Layout,35.5,12.919944,77.623397,
2025-11-23T17:26:52.629286+00:00,SIM_Malleswaram_07,Malleswaram,1.95,13.006059,77.569303,
2025-11-23T17:26:52.794774+00:00,SIM_Banashankari_08,Banashankari,31.05,12.922211,77.542804,
2025-11-23T17:27:02.967939+00:00,SIM_Koramangala_01,Koramangala,19.11,12.933961,77.6245,
2025-11-23T17:27:03.132140+00:00,SIM_Indiranagar_02,Indiranagar,37.34,12.971924,77.636376,
2025-11-23T17:27:03.292984+00:00,SIM_Whitefield_03,Whitefield,27.6,12.970907,77.747486,
2025-11-23T17:27:03.459305+00:00,SIM_Jayanagar_04,Jayanagar,25.41,12.923563,77.59485,
2025-11-23T17:27:03.625495+00:00,SIM_Electronic_City_05,Electronic City,3.69,12.845571,77.659816,
2025-11-23T17:27:03.787333+00:00,SIM_HSR_Layout_06,HSR Layout,36.12,12.919944,77.623397,
2025-11-23T17:27:03.947572+00:00,SIM_Malleswaram_07,Malleswaram,3.17,13.006059,77.569303,
2025-11-23T17:27:04.137218+00:00,SIM_Banashankari_08,Banashankari,32.25,12.922211,77.542804,
2025-11-23T17:27:14.296818+00:00,SIM_Koramangala_01,Koramangala,21.09,12.933961,77.6245,
2025-11-23T17:27:14.497949+00:00,SIM_Indiranagar_02,Indiranagar,36.65,12.971924,77.636376,
2025-11-23T17:27:15.041041+00:00,SIM_Whitefield_03,Whitefield,30.3,12.970907,77.747486,
2025-11-23T17:27:15.206292+00:00,SIM_Jayanagar_04,Jayanagar,27.91,12.923563,77.59485,
2025-11-23T17:27:15.384137+00:00,SIM_Electronic_City_05,Electronic City,4.86,12.845571,77.659816,
2025-11-23T17:27:15.544985+00:00,SIM_HSR_Layout_06,HSR Layout,36.93,12.919944,77.623397,
2025-11-23T17:27:15.709214+00:00,SIM_Malleswaram_07,Malleswaram,4.44,13.006059,77.569303,
2025-11-23T17:27:15.874907+00:00,SIM_Banashankari_08,Banashankari,34.56,12.922211,77.542804,
2025-11-23T17:27:26.052733+00:00,SIM_Koramangala_01,Koramangala,23.26,12.933961,77.6245,
2025-11-23T17:27:26.215396+00:00,SIM_Indiranagar_02,Indiranagar,35.89,12.971924,77.636376,
2025-11-23T17:27:26.378278+00:00,SIM_Whitefield_03,Whitefield,31.2,12.970907,77.747486,
2025-11-23T17:27:26.539853+00:00,SIM_Jayanagar_04,Jayanagar,28.87,12.923563,77.59485,
2025-11-23T17:27:26.709665+00:00,SIM_Electronic_City_05,Electronic City,6.48,12.845571,77.659816,
2025-11-23T17:27:26.909889+00:00,SIM_HSR_Layout_06,HSR Layout,37.93,12.919944,77.623397,
2025-11-23T17:27:27.088675+00:00,SIM_Malleswaram_07,Malleswaram,6.08,13.006059,77.569303,
2025-11-23T17:27:27.281530+00:00,SIM_Banashankari_08,Banashankari,35.98,12.922211,77.542804,
2025-11-23T17:27:37.745696+00:00,SIM_Koramangala_01,Koramangala,25.11,12.933961,77.6245,
2025-11-23T17:27:37.905476+00:00,SIM_Indiranagar_02,Indiranagar,36.05,12.971924,77.636376,
2025-11-23T17:27:38.065904+00:00,SIM_Whitefield_03,Whitefield,33.35,12.970907,77.747486,
2025-11-23T17:27:38.226360+00:00,SIM_Jayanagar_04,Jayanagar,30.74,12.923563,77.59485,
2025-11-23T17:27:38.387208+00:00,SIM_Electronic_City_05,Electronic City,9.55,12.845571,77.659816,
2025-11-23T17:27:38.547997+00:00,SIM_HSR_Layout_06,HSR Layout,38.67,12.919944,77.623397,
2025-11-23T17:27:38.708740+00:00,SIM_Malleswaram_07,Malleswaram,6.65,13.006059,77.569303,
2025-11-23T17:27:38.871775+00:00,SIM_Banashankari_08,Banashankari,37.87,12.922211,77.542804,
2025-11-23T17:27:49.046223+00:00,SIM_Koramangala_01,Koramangala,25.99,12.933961,77.6245,
2025-11-23T17:27:49.206428+00:00,SIM_Indiranagar_02,Indiranagar,35.69,12.971924,77.636376,
2025-11-23T17:27:49.371113+00:00,SIM_Whitefield_03,Whitefield,33.59,12.970907,77.747486,
2025-11-23T17:27:49.536440+00:00,SIM_Jayanagar_04,Jayanagar,32.59,12.923563,77.59485,
2025-11-23T17:27:49.700231+00:00,SIM_Electronic_City_05,Electronic City,11.47,12.845571,77.659816,
2025-11-23T17:27:49.862984+00:00,SIM_HSR_Layout_06,HSR Layout,39.38,12.919944,77.623397,
2025-11-23T17:27:50.041149+00:00,SIM_Malleswaram_07,Malleswaram,7.53,13.006059,77.569303,
2025-11-23T17:27:50.220378+00:00,SIM_Banashankari_08,Banashankari,38.4,12.922211,77.542804,
2025-11-23T17:28:00.382425+00:00,SIM_Koramangala_01,Koramangala,27.96,12.933961,77.6245,
2025-11-23T17:28:00.545881+00:00,SIM_Indiranagar_02,Indiranagar,35.09,12.971924,77.636376,
2025-11-23T17:28:00.719782+00:00,SIM_Whitefield_03,Whitefield,34.93,12.970907,77.747486,
2025-11-23T17:28:00.884779+00:00,SIM_Jayanagar_04,Jayanagar,33.53,12.923563,77.59485,
2025-11-23T17:28:01.048557+00:00,SIM_Electronic_City_05,Electronic City,11.95,12.845571,77.659816,
2025-11-23T17:28:01.211916+00:00,SIM_HSR_Layout_06,HSR Layout,41.13,12.919944,77.623397,
2025-11-23T17:28:01.373840+00:00,SIM_Malleswaram_07,Malleswaram,9.49,13.006059,77.569303,
2025-11-23T17:28:01.533697+00:00,SIM_Banashankari_08,Banashankari,39.35,12.922211,77.542804,
2025-11-23T17:28:11.700713+00:00,SIM_Koramangala_01,Koramangala,30.76,12.933961,77.6245,
2025-11-23T17:28:11.874278+00:00,SIM_Indiranagar_02,Indiranagar,34.48,12.971924,77.636376,
2025-11-23T17:28:12.064419+00:00,SIM_Whitefield_03,Whitefield,35.99,12.970907,77.747486,
2025-11-23T17:28:12.272030+00:00,SIM_Jayanagar_04,Jayanagar,7.92,12.923563,77.59485,
2025-11-23T17:28:12.438615+00:00,SIM_Electronic_City_05,Electronic City,13.65,12.845571,77.659816,
2025-11-23T17:28:12.823632+00:00,SIM_HSR_Layout_06,HSR Layout,7.69,12.919944,77.623397,
2025-11-23T17:28:13.052437+00:00,SIM_Malleswaram_07,Malleswaram,10.69,13.006059,77.569303,
2025-11-23T17:28:13.236693+00:00,SIM_Banashankari_08,Banashankari,41.24,12.922211,77.542804,
2025-11-23T17:28:23.403032+00:00,SIM_Koramangala_01,Koramangala,31.7,12.933961,77.6245,
2025-11-23T17:28:23.562769+00:00,SIM_Indiranagar_02,Indiranagar,34.66,12.971924,77.636376,
2025-11-23T17:28:23.724915+00:00,SIM_Whitefield_03,Whitefield,37.46,12.970907,77.747486,
2025-11-23T17:28:23.886699+00:00,SIM_Jayanagar_04,Jayanagar,10.42,12.923563,77.59485,
2025-11-23T17:28:24.051935+00:00,SIM_Electronic_City_05,Electronic City,16.16,12.845571,77.659816,
2025-11-23T17:28:24.216676+00:00,SIM_HSR_Layout_06,HSR Layout,7.9,12.919944,77.623397,
2025-11-23T17:28:24.382895+00:00,SIM_Malleswaram_07,Malleswaram,12.04,13.006059,77.569303,
2025-11-23T17:28:24.563294+00:00,SIM_Banashankari_08,Banashankari,43.26,12.922211,77.542804,
2025-11-23T17:28:34.744305+00:00,SIM_Koramangala_01,Koramangala,34.16,12.933961,77.6245,
2025-11-23T17:28:34.905408+00:00,SIM_Indiranagar_02,Indiranagar,34.55,12.971924,77.636376,
2025-11-23T17:28:35.075484+00:00,SIM_Whitefield_03,Whitefield,39.64,12.970907,77.747486,
2025-11-23T17:28:35.236282+00:00,SIM_Jayanagar_04,Jayanagar,12.2,12.923563,77.59485,
2025-11-23T17:28:35.398187+00:00,SIM_Electronic_City_05,Electronic City,16.82,12.845571,77.659816,
2025-11-23T17:28:35.561119+00:00,SIM_HSR_Layout_06,HSR Layout,9.04,12.919944,77.623397,
2025-11-23T17:28:35.721012+00:00,SIM_Malleswaram_07,Malleswaram,14.21,13.006059,77.569303,
2025-11-23T17:28:35.884651+00:00,SIM_Banashankari_08,Banashankari,44.17,12.922211,77.542804,
2025-11-23T17:28:46.048598+00:00,SIM_Koramangala_01,Koramangala,36.45,12.933961,77.6245,
2025-11-23T17:28:46.234328+00:00,SIM_Indiranagar_02,Indiranagar,34.01,12.971924,77.636376,
2025-11-23T17:28:46.396338+00:00,SIM_Whitefield_03,Whitefield,41.6,12.970907,77.747486,
2025-11-23T17:28:46.561062+00:00,SIM_Jayanagar_04,Jayanagar,14.32,12.923563,77.59485,
2025-11-23T17:28:46.736268+00:00,SIM_Electronic_City_05,Electronic City,18.37,12.845571,77.659816,
2025-11-23T17:28:46.903015+00:00,SIM_HSR_Layout_06,HSR Layout,9.94,12.919944,77.623397,
2025-11-23T17:28:47.069730+00:00,SIM_Malleswaram_07,Malleswaram,15.09,13.006059,77.569303,
2025-11-23T17:28:47.231562+00:00,SIM_Banashankari_08,Banashankari,45.75,12.922211,77.542804,
2025-11-23T17:28:57.395986+00:00,SIM_Koramangala_01,Koramangala,39.02,12.933961,77.6245,
2025-11-23T17:28:57.583737+00:00,SIM_Indiranagar_02,Indiranagar,34.04,12.971924,77.636376,
2025-11-23T17:28:57.782569+00:00,SIM_Whitefield_03,Whitefield,42.59,12.970907,77.747486,
2025-11-23T17:28:57.943792+00:00,SIM_Jayanagar_04,Jayanagar,16.14,12.923563,77.59485,
2025-11-23T17:28:58.386888+00:00,SIM_Electronic_City_05,Electronic City,19.92,12.845571,77.659816,
2025-11-23T17:28:58.550131+00:00,SIM_HSR_Layout_06,HSR Layout,11.99,12.919944,77.623397,
2025-11-23T17:28:58.714520+00:00,SIM_Malleswaram_07,Malleswaram,16.91,13.006059,77.569303,
2025-11-23T17:28:58.898368+00:00,SIM_Banashankari_08,Banashankari,46.44,12.922211,77.542804,
2025-11-23T17:29:09.063921+00:00,SIM_Koramangala_01,Koramangala,39.98,12.933961,77.6245,
2025-11-23T17:29:09.224961+00:00,SIM_Indiranagar_02,Indiranagar,33.91,12.971924,77.636376,
2025-11-23T17:29:09.387022+00:00,SIM_Whitefield_03,Whitefield,44.54,12.970907,77.747486,
2025-11-23T17:29:09.550665+00:00,SIM_Jayanagar_04,Jayanagar,18.42,12.923563,77.59485,
2025-11-23T17:29:09.716097+00:00,SIM_Electronic_City_05,Electronic City,20.75,12.845571,77.659816,
2025-11-23T17:29:09.889468+00:00,SIM_HSR_Layout_06,HSR Layout,12.82,12.919944,77.623397,
2025-11-23T17:29:10.095514+00:00,SIM_Malleswaram_07,Malleswaram,19.58,13.006059,77.569303,
2025-11-23T17:29:10.276376+00:00,SIM_Banashankari_08,Banashankari,47.6,12.922211,77.542804,
2025-11-23T17:29:20.481609+00:00,SIM_Koramangala_01,Koramangala,42.13,12.933961,77.6245,
2025-11-23T17:29:20.658978+00:00,SIM_Indiranagar_02,Indiranagar,34.43,12.971924,77.636376,
2025-11-23T17:29:20.821529+00:00,SIM_Whitefield_03,Whitefield,44.95,12.970907,77.747486,
