year,area,waste_generated
2017,Bommanahalli,104188.66
2018,Bommanahalli,112111.61
2019,Bommanahalli,119162.44
2020,Bommanahalli,128024.36
2021,Bommanahalli,123225.29
2022,Bommanahalli,130457.12
2023,Bommanahalli,139492.33
2024,Bommanahalli,168001.38
2017,Dasarahalli,100487.14
2018,Dasarahalli,107316.04
2019,Dasarahalli,112916.99
2020,Dasarahalli,109948.11
2021,Dasarahalli,118187.14
2022,Dasarahalli,122692.63
2023,Dasarahalli,138761.94
2024,Dasarahalli,127498.89
2017,East,126472.03
2018,East,131436.39
2019,East,142266.24
2020,East,145258.43
2021,East,160713.19
2022,East,164678.62
2023,East,158819.57
2024,East,181945.63
2017,Mahadevapura,127397.48
2018,Mahadevapura,129118.81
2019,Mahadevapura,135913.71
2020,Mahadevapura,150952.44
2021,Mahadevapura,156599.64
2022,Mahadevapura,176527.36
2023,Mahadevapura,185916.08
2024,Mahadevapura,164163.11
2017,RRNagar,126203.22
2018,RRNagar,131264.93
2019,RRNagar,137421.08
2020,RRNagar,150457.14
2021,RRNagar,148718.36
2022,RRNagar,144423.86
2023,RRNagar,161935.17
2024,RRNagar,193166.14
2017,South,112082.85
2018,South,116289.57
2019,South,120026.36
2020,South,133838.3
2021,South,130381.41
2022,South,141763.36
2023,South,142879.43
2024,South,144525.57
2017,West,94851.16
2018,West,98649.08
2019,West,105896.7
2020,West,104762.46
2021,West,106920.75
2022,West,113631.47
2023,West,141972.09
2024,West,123710.96
2017,Yelahanka,151666.91
2018,Yelahanka,165104.32
2019,Yelahanka,164383.5
2020,Yelahanka,172846.7
2021,Yelahanka,188261.56
2022,Yelahanka,193940.89
2023,Yelahanka,184019.3
2024,Yelahanka,195003.5
2017,Banashankari,6176379.78
2018,Banashankari,6445801.55
2019,Banashankari,6441723.43
2020,Banashankari,7427101.87
2021,Banashankari,7458170.5
2022,Banashankari,7515513.47
2023,Banashankari,9215399.82
2024,Banashankari,8100079.31
2017,Malleshwaram,5326479.65
2018,Malleshwaram,5598782.14
2019,Malleshwaram,6018979.13
2020,Malleshwaram,6261115.07
2021,Malleshwaram,6246249.41
2022,Malleshwaram,6218661.88
2023,Malleshwaram,6855514.3
2024,Malleshwaram,7581513.08
2017,Rajajinagar,8674954.38
2018,Rajajinagar,9099753.67
2019,Rajajinagar,9244056.56
2020,Rajajinagar,10222916.98
2021,Rajajinagar,10273002.21
2022,Rajajinagar,10250792.93
2023,Rajajinagar,12266149.41
2024,Rajajinagar,12737064.32
2017,Kr-Circle,6056578.71
2018,Kr-Circle,6503100.68
2019,Kr-Circle,6661464.27
2020,Kr-Circle,6646533.41
2021,Kr-Circle,7251509.44
2022,Kr-Circle,7829258.66
2023,Kr-Circle,8896816.25
2024,Kr-Circle,9550968.51
2017,Indiranagar,7149854.84
2018,Indiranagar,7764438.52
2019,Indiranagar,8217661.52
2020,Indiranagar,8603599.14
2021,Indiranagar,8800509.84
2022,Indiranagar,9078971.01
2023,Indiranagar,10053389.4
2024,Indiranagar,9812695.56
2017,Bengaluru,8469437.46
2018,Bengaluru,8672844.64
2019,Bengaluru,8884513.6
2020,Bengaluru,9225677.02
2021,Bengaluru,10849584.99
2022,Bengaluru,9976217.14
2023,Bengaluru,11559832.3
2024,Bengaluru,12635589.33
2017,Koramangala,3359907.82
2018,Koramangala,3555582.29
2019,Koramangala,3617722.9
2020,Koramangala,4027012.9
2021,Koramangala,4382798.7
