Sl. No.,State/UT,No. of villages covered with SWM,No. of villages covered with LWM
1,Andaman and Nicobar Islands,189,189
2,Andhra Pradesh,1330,873
3,Arunachal Pradesh,60,39
4,Assam,69,12
5,Bihar,13,33
6,Chhattisgarh,2398,2854
7,Dadra and Nagar Haveli and Daman and Diu,16,14
8,Goa,0,0
9,Gujarat,1379,719
10,Haryana,585,518
11,Himachal Pradesh,1813,1717
12,Jammu and Kashmir,1,0
13,Jharkhand,379,404
14,Karnataka,4407,133
15,Kerala,569,553
16,Ladakh,0,0
17,Lakshadweep,0,0
18,Madhya Pradesh,3802,3692
19,Maharashtra,980,975
20,Manipur,6,7
21,Meghalaya,566,466
22,Mizoram,117,89
23,Nagaland,20,15
24,Odisha,3125,3788
25,Puducherry,46,1
26,Punjab,193,490
27,Rajasthan,582,1495
28,Sikkim,22,22
29,Tamil Nadu,12130,177
30,Telangana,14183,4468
31,Tripura,6,1
32,Uttar Pradesh,2319,2490
33,Uttarakhand,2574,2352
34,West Bengal,69,17
Total,Total,53948,28603
